"Title :","System of Social and Demographic Statistics of Japan"
"Open date :","Jun.21, 2021"

"***","Not surveyed or aggregated"
"-","Not available"
"X","Figures kept undisclosed"

"","","","","/ITEMS Code","A1101","","F1101","","F1102",""
"YEAR Code","YEAR","AREA Code","AREA","/ITEMS","A1101_Total population (Both sexes)[person]","Annotation","F1101_(Population census) Population in labour force[person]","Annotation","F1102_(Population census) Number of employed persons[person]","Annotation"
"2015100000","2015","03366","Iwate-ken Nishiwaga-machi","","5,880","","3,064","","2,988",""
"2015100000","2015","03381","Iwate-ken Kanegasaki-cho","","15,895","","8,757","","8,508",""
"2015100000","2015","03402","Iwate-ken Hiraizumi-cho","","7,868","","4,210","","4,075",""
"2015100000","2015","03441","Iwate-ken Sumita-cho","","5,720","","2,942","","2,850",""
"2015100000","2015","03461","Iwate-ken Otsuchi-cho","","11,759","","6,038","","5,769",""
"2015100000","2015","03482","Iwate-ken Yamada-machi","","15,826","","8,031","","7,632",""
"2015100000","2015","03483","Iwate-ken Iwaizumi-cho","","9,841","","5,186","","5,004",""
"2015100000","2015","03484","Iwate-ken Tanohata-mura","","3,466","","1,818","","1,738",""
"2015100000","2015","03485","Iwate-ken Fudai-mura","","2,795","","1,460","","1,407",""
"2015100000","2015","03501","Iwate-ken Karumai-machi","","9,333","","5,008","","4,801",""
"2015100000","2015","03503","Iwate-ken Noda-mura","","4,149","","2,110","","1,986",""
"2015100000","2015","03506","Iwate-ken Kunohe-mura","","5,865","","3,128","","2,957",""
"2015100000","2015","03507","Iwate-ken Hirono-cho","","16,693","","8,184","","7,781",""
"2015100000","2015","03524","Iwate-ken Ichinohe-machi","","12,919","","6,471","","6,229",""
"2015100000","2015","04100","Miyagi-ken Sendai-shi","","1,082,159","","504,146","","479,339",""
"2015100000","2015","04101","Miyagi-ken Sendai-shi Aoba-ku","","310,183","","139,983","","133,659",""
"2015100000","2015","04102","Miyagi-ken Sendai-shi Miyagino-ku","","194,825","","91,198","","86,566",""
"2015100000","2015","04103","Miyagi-ken Sendai-shi Wakabayashi-ku","","133,498","","63,765","","60,348",""
"2015100000","2015","04104","Miyagi-ken Sendai-shi Taihaku-ku","","226,855","","107,530","","101,726",""
"2015100000","2015","04105","Miyagi-ken Sendai-shi Izumi-ku","","216,798","","101,670","","97,040",""
"2015100000","2015","04202","Miyagi-ken Ishinomaki-shi","","147,214","","71,294","","67,457",""
"2015100000","2015","04203","Miyagi-ken Shiogama-shi","","54,187","","26,207","","24,609",""
"2015100000","2015","04205","Miyagi-ken Kesennuma-shi","","64,988","","30,865","","29,098",""
"2015100000","2015","04206","Miyagi-ken Shiroishi-shi","","35,272","","17,583","","16,667",""
"2015100000","2015","04207","Miyagi-ken Natori-shi","","76,668","","37,159","","35,534",""
"2015100000","2015","04208","Miyagi-ken Kakuda-shi","","30,180","","15,044","","14,408",""
"2015100000","2015","04209","Miyagi-ken Tagajo-shi","","62,096","","30,918","","29,462",""
"2015100000","2015","04211","Miyagi-ken Iwanuma-shi","","44,678","","22,230","","21,116",""
"2015100000","2015","04212","Miyagi-ken Tome-shi","","81,959","","43,497","","41,964",""
"2015100000","2015","04213","Miyagi-ken Kurihara-shi","","69,906","","35,116","","33,661",""
"2015100000","2015","04214","Miyagi-ken Higashimatsushima-shi","","39,503","","19,637","","18,562",""
"2015100000","2015","04215","Miyagi-ken Osaki-shi","","133,391","","69,103","","65,942",""
"2015100000","2015","04216","Miyagi-ken Tomiya-shi","","51,591","","25,945","","25,009",""
